,endorsement_count,name,perfil_id,area
871,1,Excel Dashboards,39,Softwares
872,4,Inglês,39,Idioma
873,3,Gestão,39,Gestão
874,5,Sistemas operacionais,39,Analista
875,2,Business Intelligence Tools,39,Negócio
876,2,Strategic Consulting,39,Gestão
877,3,Liderança de equipe,39,Soft Skills
878,1,Gestão de informações,39,Gestão
879,2,Inteligência empresarial,39,Gestão
880,1,Inteligência de mercado,39,Negócio
881,1,Competitive Analysis,39,Negócio
882,1,Dashboard,39,Analista
883,1,Information Management,39,Gestão
884,1,Data Analysis,39,Data Science
885,1,Marketing digital,39,Marketing
886,1,Operating Systems,39,Analista
887,9,Microsoft Word,39,Softwares
888,1,Business Intelligence,39,Negócio
889,0,VBA,39,Analista
890,0,Negociação,39,Negócio
891,0,Marketing,39,Marketing
892,0,Consultoria,39,Consultoria
893,0,Análises,39,Gestão
894,0,Consultoria de gestão,39,Consultoria
895,0,Capacidade analítica,39,Soft Skills
896,0,Planejamento de projetos,39,Gestão
897,0,Empreendedorismo,39,Empreendedorismo e Inovação
898,0,Análises de mercado,39,Gestão
899,0,Estratégia,39,Gestão
900,21,JavaScript,40,Front End
903,6,Angular,40,Front End
905,12,jQuery,40,Front End
908,13,HTML,40,Front End
909,13,CSS,40,Front End
910,9,AJAX,40,Front End
911,5,Ruby on Rails,40,Linguagens de Programação e AEDS
912,7,User Interfaces,40,UX
913,12,Linux,40,SO
914,6,Python,40,Back End
915,7,Programming,40,Linguagens de Programação e AEDS
916,6,Programação de computadores,40,Linguagens de Programação e AEDS
917,3,PHP,40,Back End
918,2,Node.js,40,Front End
919,0,Arquitetura de software,40,Analista
920,3,Scrum,40,Metodologias Gerenciemento de Software
921,0,SEO (Otimização de motores de busca),40,Analista
922,2,Git,40,Ferramenta de Versionamento de Software
923,1,SASS,40,Front End
924,0,Chrome Developer Tools,40,Softwares
925,0,Compatibilidade cross-browser,40,
926,0,Design de interação,40,Design
927,0,Microsoft Excel,42,Softwares
929,0,Customer Service,42,Comercial
931,0,Leadership,42,Gestão
933,0,Microsoft Word,42,Softwares
934,0,Microsoft Office,42,Softwares
935,0,Research,42,Negócio
936,0,Microsoft PowerPoint,42,Softwares
937,0,Public Speaking,42,Retórica
938,0,Social Media,42,Marketing
939,0,Marketing,42,Marketing
940,0,SAP ERP,42,Gestão
941,5,Finanças,43,Negócio
943,4,Contabilidade,43,Financeiro
945,3,Microsoft Windows,43,Softwares
947,2,Microsoft Excel,43,Softwares
948,2,Microsoft Word,43,Softwares
949,2,Microsoft PowerPoint,43,Softwares
950,1,Microsoft Office,43,Softwares
951,1,Auditoria,43,Gestão
952,1,Management,43,Gestão
953,1,Negociação,43,Negócio
954,1,Microsoft Project,43,Gestão
955,1,Negotiation,43,Negócio
956,1,Customer Service,43,Comercial
957,1,Leadership,43,Gestão
958,1,Research,43,Negócio
959,1,Windows,43,Softwares
960,1,Pesquisa,43,Negócio
961,1,Atendimento ao Cliente,43,Negócio
962,1,Gestão,43,Gestão
963,1,Inglês,43,Idioma
964,1,Liderança,43,Soft Skills
965,1,"Profissional competente, comunicativo e proativo.",43,Soft Skills
966,1,Bom relacionamento para trabalhar em equipe.,43,Soft Skills
967,1,Inglês Intermediário,43,Idioma
968,2,Go,44,Linguagens de Programação e AEDS
970,1,Google Cloud Platform,44,Linguagens de Programação e AEDS
972,24,MySQL,44,Banco de Dados e Web Services
975,1,Ceph,44,Softwares
976,26,Linux,44,SO
977,1,Redis,44,Softwares
978,1,Nginx,44,Softwares
979,19,Scrum,44,Metodologias Gerenciemento de Software
980,3,Scalability,44,Arquitetura de Software
981,4,Problem Solving,44,Gestão
982,21,JavaScript,44,Front End
983,23,PHP,44,Back End
984,4,Software Engineering,44,Engeharia
985,13,Web Development,44,Analista
986,4,Ruby,44,Linguagens de Programação e AEDS
987,1,Amazon Web Services (AWS),44,Web Services
988,0,Lua,44,Softwares
989,5,Social Web,44,Analista
990,5,Team Management,44,Gestão
991,4,Python,44,Back End
992,6,Performance Tuning,44,Analista
993,3,CSS,44,Front End
994,4,Git,44,Ferramenta de Versionamento de Software
995,3,Java,44,Back End
996,3,Software Development,44,Analista
997,0,Kubernetes,44,Softwares
998,1,HTML 5,44,Front End
999,2,Varnish Cache,44,Softwares
1000,2,Google Analytics,44,Linguagens de Programação e AEDS
1001,1,Product Management,44,Gestão
1002,1,System Architecture,44,Analista
1003,1,Development Management,44,Gestão
1004,7,Facebook API,44,Marketing
1005,1,DevOps,44,Arquitetura de Software
1006,1,Social Networking,44,Analista
1007,1,Shell Scripting,44,Softwares
1008,1,User Experience,44,UX
1009,7,OpenSocial,44,Linguagens de Programação e AEDS
1010,0,Music Theory,44,Multimídia
1011,0,SEO,44,Analista
1012,8,jQuery,44,Front End
1013,2,AJAX,44,Front End
1014,1,HTML5,44,Front End
1015,0,SQL,44,Banco de Dados e Web Services
1016,0,HTML,44,Front End
1017,0,Operating Systems,44,Analista
1018,0,IT Service Management,44,Gestão
1019,1,JavaScript,45,Front End
1021,2,PHP,45,Back End
1024,1,HTML,45,Front End
1026,1,MySQL,45,Banco de Dados e Web Services
1027,0,Python,45,Back End
1028,0,Java,45,Back End
1029,0,CSS,45,Front End
1030,0,C++,45,Linguagens de Programação e AEDS
1031,3,Desenvolvimento de software,45,Analista
1032,0,Software Development,45,Analista
1033,0,Web Development,45,Analista
1034,0,Hardware Installation,45,Analista
1035,2,Scrum,45,Metodologias Gerenciemento de Software
1036,0,Git,46,Ferramenta de Versionamento de Software
1038,0,Scrum,46,Metodologias Gerenciemento de Software
1040,0,Web Development,46,Analista
1042,0,HTML,46,Front End
1043,0,CSS,46,Front End
1044,0,JavaScript,46,Front End
1045,0,Software Development,46,Analista
1046,0,MySQL,46,Banco de Dados e Web Services
1047,0,PHP,46,Back End
1048,4,Psychological Assessment,47,Gestão
1050,4,Psychometrics,47,Gestão
1052,3,Research,47,Negócio
1054,0,Recruitments,47,Gestão
1055,6,Microsoft Excel,47,Softwares
1056,5,Microsoft Word,47,Softwares
1057,0,PowerPoint,47,Softwares
1058,0,English,47,Idioma
1059,0,Negotiation,47,Negócio
1060,1,Liderança de equipe,47,Soft Skills
1061,2,Microsoft Office,47,Softwares
1062,1,Português,47,Idioma
1063,0,Strategic Planning,47,Gestão
1064,3,Microsoft PowerPoint,47,Softwares
1065,3,Inglês,47,Idioma
1066,1,Planejamento estratégico,47,Gestão
1067,1,Estratégia empresarial,47,Gestão
1068,1,Human Resources,47,Gestão
1069,36,Interaction Design,49,Design
1072,27,User Experience,49,UX
1074,22,Design da Experiência do Usuário,49,UX
1076,21,User Interface Design,49,UX
1077,20,Information Architecture,49,Analista
1078,20,Layout,49,Design
1079,20,Design de interação,49,Design
1080,19,Design de interface do usuário,49,UX
1081,18,User-centered Design,49,UX
1082,16,Arquitetura de informação,49,Analista
1083,16,Experiência do usuário,49,UX
1084,14,Web design,49,Analista
1085,11,User Experience Design,49,UX
1086,11,Marketing digital,49,Marketing
1087,11,Adobe Photoshop,49,Softwares
1088,10,Usability,49,UX
1089,10,Adobe Illustrator,49,Design
1090,10,Design gráfico,49,Design
1091,8,Web Design,49,Design
1092,8,Photoshop,49,Softwares
1093,6,Design Thinking,49,Soft Skills
1094,6,Axure,49,Front End
1095,6,Graphic Design,49,Design
1096,6,Layout gráfico,49,Design
1097,5,Experience Design,49,Design
1098,4,Design de experiência,49,Design
1099,0,Usabilidade,49,UX
1100,2,Digital Marketing,49,Marketing
1101,0,Design thinking,49,Soft Skills
1102,1,ActionScript,49,Front End
1103,1,Accessibility,49,Arquitetura de Software
1104,1,Illustrator,49,Design
1105,1,mobile application design,49,Mobile
1106,1,Design voltado para o usuário,49,UX
1107,0,Responsiveness,49,Arquitetura de Software
1108,0,Web Application Design,49,Design
1109,60,Marketing digital,50,Marketing
1112,49,Marketing de motor de busca,50,Marketing
1114,43,Marketing,50,Marketing
1117,35,Publicidade online,50,Negócio
1118,34,Estratégias de marketing,50,Gestão
1119,29,Digital Marketing,50,Marketing
1120,21,Marketing por e-mail,50,Marketing
1121,17,Marketing social,50,Marketing
1122,16,Online Advertising,50,Negócio
1123,14,Social Media Marketing,50,Marketing
1124,13,Marketing Strategy,50,Marketing
1125,12,Google Analytics,50,Linguagens de Programação e AEDS
1126,11,Digital Media,50,Marketing
1127,11,Digital Strategy,50,Gestão
1128,11,Estratégia digital,50,Gestão
1129,10,Email Marketing,50,Marketing
1130,9,Mídias sociais,50,Marketing
1131,9,Comércio eletrônico,50,Negócio
1132,8,Mídia digital,50,Marketing
1133,7,Facebook,50,Marketing
1134,5,Social Media,50,Marketing
1135,5,CRM,50,Gestão
1136,5,Google AdWords,50,Linguagens de Programação e AEDS
1137,5,Comunicações de marketing,50,
1138,4,Google Adwords,50,Linguagens de Programação e AEDS
1139,4,SEM,50,Negócio
1140,4,Advertising,50,Negócio
1141,4,Análise de rede,50,Analista
1142,4,SEO (Otimização de motores de busca),50,Analista
1143,4,Gestão de relação de clientes,50,Gestão
1144,3,Web Analytics,50,Analista
1145,3,E-commerce,50,Negócio
1146,3,Mobile Marketing,50,Marketing
1147,3,Media Planning,50,Marketing
1148,3,Marketing para dispositivos móveis,50,Marketing
1149,3,Planejamento de mídia,50,Gestão
1150,3,Publicidade,50,Negócio
1151,2,SEO,50,Analista
1152,2,Marketing Communications,50,Marketing
1153,1,Trade Marketing,50,Marketing
1154,25,Team Leadership,51,Gestão
1157,23,Sales Operations,51,Comercial
1160,21,Sales Management,51,Gestão
1163,16,Trade Marketing,51,Marketing
1164,16,Strategic Planning,51,Gestão
1165,12,PDCA,51,Gestão
1166,11,Portuguese,51,Idioma
1167,11,Pricing Strategy,51,Gestão
1168,10,English,51,Idioma
1169,8,Supply Chain,51,Gestão
1170,3,Spanish,51,Idioma
1171,27,Optimization Strategies,52,Gestão
1173,42,SEO,52,Analista
1175,65,Google Analytics,52,Linguagens de Programação e AEDS
1178,18,Usability Testing,52,UX
1179,19,Conversion Optimization,52,Analista
1180,23,Usability,52,UX
1181,30,Digital Marketing,52,Marketing
1182,13,Information Architecture,52,Analista
1183,17,Web Analytics,52,Analista
1184,16,Digital Advertising,52,Negócio
1185,5,Inbound Marketing,52,Marketing
1186,6,Digital Strategy,52,Gestão
1187,19,jQuery,52,Front End
1188,38,CSS,52,Front End
1189,24,WordPress,52,Front End
1190,11,HTML 5,52,Front End
1191,14,PHP,52,Back End
1192,6,CSS3,52,Front End
1193,7,Google Adwords,52,Linguagens de Programação e AEDS
1194,4,Semantic HTML,52,Front End
1195,5,Mobile Devices,52,Mobile
1196,8,Wireframes,52,Softwares
1197,4,PPC,52,Negócio
1198,4,SEM,52,Negócio
1199,3,Landing Page Optimization,52,Analista
1200,9,JavaScript,52,Front End
1201,3,E-commerce Optimization,52,Negócio
1202,3,E-commerce Consulting,52,Consultoria
1203,7,Online Advertising,52,Negócio
1204,9,Social Media Marketing,52,Marketing
1205,3,Social Media Advertising,52,Marketing
1206,6,Online Marketing,52,Marketing
1207,3,Digital Media Services,52,Marketing
1208,2,Accessibility,52,Arquitetura de Software
1209,2,Sitemap,52,Softwares
1210,2,Web Standards,52,Analista
1211,5,Social Media,52,Marketing
1212,33,SEO (Otimização de motores de busca),52,Analista
1213,39,Marketing digital,52,Marketing
1214,9,Marketing de motor de busca,52,Marketing
1215,21,JQuery,52,Front End
1216,12,Marketing online,52,Marketing
1217,12,Mídias sociais,52,Marketing
1218,9,Marketing social,52,Marketing
1219,8,Arquitetura de informação,52,Analista
1220,12,Publicidade online,52,Negócio
1221,7,Análise de rede,52,Analista
1222,4,Usabilidade,52,UX
1223,6,Estratégia digital,52,Gestão
1224,7,HTML5,52,Front End
1225,9,Copywriting,53,Softwares
1228,20,Social Media,53,Marketing
1231,17,Digital Marketing,53,Marketing
1234,10,Art Direction,53,Design
1235,22,Mídias sociais,53,Marketing
1236,13,Comunicações de marketing,53,
1237,12,Publicidade,53,Negócio
1238,19,Marketing digital,53,Marketing
1239,16,Estratégias de marketing,53,Gestão
1240,9,Publicidade online,53,Negócio
1241,11,Redação,53,Retórica
1242,3,Video Production,53,Gestão
1243,14,Adobe Photoshop,53,Softwares
1244,5,Inglês,53,Idioma
1245,7,Planejamento estratégico,53,Gestão
1246,4,Gestão,53,Gestão
1247,7,Adobe Illustrator,53,Design
1248,3,Photoshop,53,Softwares
